ID,Drug_A,Drug_B,Cell_Line,Score
6015,565,609,0,-41.795518
6016,565,609,1,-1.552100963
6017,565,609,2,3.00796082464995
6018,565,609,3,-2.36435768
6019,565,609,4,-3.430527255
6020,565,609,5,-5.223430287
6021,565,609,6,-7.026954644
6023,565,609,7,0.299827252435926
6024,565,609,8,3.08342098519929
6025,565,609,9,2.17014666034745
6026,565,609,11,0.524643878189104
6027,565,609,10,5.32968842963117
6028,565,609,12,-2.759159827
6029,565,609,13,-4.058156033
6030,565,609,14,-3.926624207
6032,565,609,15,-4.689114903
6034,565,609,16,-4.869808937
6035,565,609,17,-5.252522272
6036,565,609,19,-3.114840916
6038,565,609,20,-7.886845866
6039,565,609,21,-6.290622213
6041,565,609,22,-2.440487955
6042,565,609,23,-9.665309645
6043,565,609,24,-0.894367466
6044,565,609,25,-2.381607512
6046,565,609,26,-1.235730974
6049,565,609,27,0.491689215891355
6050,565,609,28,-1.598843969
6051,565,609,29,-2.344205278
6053,565,609,30,3.13069626115167
6054,565,609,31,4.05407658973476
6055,565,609,32,-2.922482477
6056,565,609,33,-3.224777768
6057,565,609,34,-12.59987533
6058,565,609,35,4.253176074
6059,565,609,36,11.5924625128408
6060,565,609,37,-3.011959974
6061,565,609,38,-0.289118335
6062,565,609,39,-3.540781923
6063,565,609,40,-1.980751249
6065,565,609,41,-1.070931717
6066,565,609,42,-15.53537492
6067,565,609,43,-1.53521553
6068,565,609,44,-12.00841676
6069,565,609,45,-1.765862202
6070,565,609,46,0.266326771413704
6071,565,609,47,0.488082937442574
6074,565,490,0,-32.60322187
6075,565,490,1,-0.46614601
6076,565,490,2,-19.45712204
6077,565,490,3,-9.249092665
6078,565,490,4,-0.678346422
6079,565,490,5,3.08303120706511
6080,565,490,6,-7.544001757
6082,565,490,7,-8.215660108
6083,565,490,8,0.470148095329741
6084,565,490,9,7.92123609692401
6085,565,490,11,-8.010903838
6086,565,490,10,-29.88003059
6087,565,490,12,-18.89431674
6088,565,490,13,-6.990322139
6089,565,490,14,-11.79502591
6091,565,490,15,0.837873380104075
6093,565,490,16,-2.06592119
6094,565,490,17,-8.579981951
6095,565,490,19,-3.40931431
6097,565,490,20,-6.995058144
6098,565,490,21,-1.361328059
6100,565,490,22,-2.3846742
6101,565,490,23,-12.05778311
6102,565,490,24,3.82603219146179
6103,565,490,25,-4.119568269
6105,565,490,26,-2.824468539
6108,565,490,27,0.350413530015131
6109,565,490,28,-4.066398585
6110,565,490,29,-0.175707926
6112,565,490,30,-4.39079668
6113,565,490,31,-2.938572874
6114,565,490,32,-1.821590686
6115,565,490,33,-5.048071376
6116,565,490,34,-0.20844714
6117,565,490,35,-1.520532275
6118,565,490,36,-11.88513518
6119,565,490,37,-0.79345782
6120,565,490,38,-2.914602697
6121,565,490,39,-3.163675104
6122,565,490,40,-7.032465172
6124,565,490,41,-4.990252164
6125,565,490,42,-30.07529048
6126,565,490,43,-6.108132546
6127,565,490,44,-12.88244256
6128,565,490,45,-1.585818142
6129,565,490,46,-12.87299252
6130,565,490,47,-0.40689727
6193,565,190,0,-0.125073255
6194,565,190,1,-0.024087129
6195,565,190,2,-1.720356756
6196,565,190,3,-1.255765683
6197,565,190,4,-3.855294115
6198,565,190,5,-4.307749149
6199,565,190,6,-2.925441903
6201,565,190,7,0.311136409720411
6202,565,190,8,-3.775531568
6203,565,190,9,-2.536369352
6204,565,190,11,-0.342820798
6205,565,190,10,2.48860073545406
6206,565,190,12,0.90618727507748
6207,565,190,13,-0.95627868
6208,565,190,14,-1.672493368
6210,565,190,15,2.15800033713989
6212,565,190,16,-2.747105334
6213,565,190,17,-7.896676814
6214,565,190,19,-0.365064376
6216,565,190,20,-2.999609583
6217,565,190,21,-6.566053706
6219,565,190,22,-2.996257541
6220,565,190,23,0.258984817603798
6221,565,190,24,-2.242231862
6222,565,190,25,-2.885500069
6224,565,190,26,0.761132117661122
6227,565,190,27,-3.919211195
6228,565,190,28,-2.024381954
6229,565,190,29,-2.509382088
6231,565,190,30,-3.285192701
6232,565,190,31,-3.45669983
6233,565,190,32,-1.704403407
6234,565,190,33,-2.687033771
6235,565,190,34,-3.002209868
6236,565,190,35,-4.561805004
6237,565,190,36,4.36334197787697
6238,565,190,37,-4.79589584
6239,565,190,38,-6.458901153
6240,565,190,39,-3.036474135
6241,565,190,40,-1.950874071
6243,565,190,41,-2.057321732
6244,565,190,42,-4.672230817
6245,565,190,43,-2.413820824
6246,565,190,44,-2.182815163
6247,565,190,45,-3.087399065
6248,565,190,46,4.76550739894271
6249,565,190,47,-1.53514659
6252,565,73,0,-10.63009386
6253,565,73,1,-8.885528208
6254,565,73,2,-24.31462856
6255,565,73,3,-22.22798864
6256,565,73,4,-14.98865825
6257,565,73,5,-4.245914535
6258,565,73,6,-15.54918628
6260,565,73,7,-17.04016133
6261,565,73,8,-7.924008807
6262,565,73,9,-1.005016108
6263,565,73,11,-11.45760488
6264,565,73,10,6.50939047767611
6265,565,73,12,-14.85553987
6266,565,73,13,-17.82005226
6267,565,73,14,-13.64076834
6269,565,73,15,-6.930837747
6271,565,73,16,-10.2730265
6272,565,73,17,-7.782632078
6273,565,73,18,-13.1685425
6274,565,73,19,-5.625309333
6276,565,73,20,-7.543578886
6277,565,73,21,-7.503419994
6279,565,73,22,-13.9209402
6280,565,73,23,-13.41200791
6281,565,73,24,-7.412412662
6282,565,73,25,-5.946720575
6284,565,73,26,-9.941616779
6287,565,73,27,-2.609300414
6288,565,73,28,-9.016934166
6289,565,73,29,-13.56274567
6291,565,73,30,-8.002354635
6292,565,73,31,2.97504090544918
6293,565,73,32,-13.17992093
6294,565,73,33,-11.40342315
6295,565,73,34,-23.03905388
6296,565,73,35,-20.01082642
6297,565,73,36,-2.968850142
6298,565,73,37,-4.938334114
6299,565,73,38,-19.10079808
6300,565,73,39,1.49122188136707
6301,565,73,40,-16.9115213
6303,565,73,41,-9.095836987
6304,565,73,42,-5.615938553
6305,565,73,43,-9.451151487
6306,565,73,44,-10.12208182
6307,565,73,45,-6.039121372
6308,565,73,46,-21.00118132
6309,565,73,47,-7.624863601
6312,565,218,0,-3.344832369
6313,565,218,2,0.910030470132044
6314,565,218,3,-9.772240574
6315,565,218,4,0.0576260184376106
6316,565,218,5,-5.943285797
6317,565,218,6,-0.431594197
6319,565,218,7,-5.289456707
6320,565,218,8,-1.355705475
6321,565,218,9,0.433375677736839
6322,565,218,11,-5.1004979
6323,565,218,10,1.58172143958846
6324,565,218,12,18.8982398678086
6325,565,218,13,12.9898112359311
6326,565,218,14,-6.599576833
6328,565,218,15,-6.205760582
6330,565,218,16,0.044690940863075
6331,565,218,17,-23.93300259
6332,565,218,18,2.51769071531455
6333,565,218,19,1.21877581265532
6335,565,218,20,-4.379621156
6336,565,218,21,-1.995761009
6338,565,218,22,1.71766432296567
6339,565,218,23,1.63298980547498
6340,565,218,24,-4.016498396
6341,565,218,25,2.05007652023331
6343,565,218,26,-3.70182776
6346,565,218,27,-8.006160641
6347,565,218,28,1.2041653312363
6348,565,218,29,-0.829825782
6350,565,218,30,5.27771437109773
6351,565,218,31,-2.731098693
6352,565,218,32,-3.357610643
6353,565,218,33,-4.861162445
6354,565,218,34,3.60942259998221
6355,565,218,35,-36.10214495
6356,565,218,36,20.9403783608298
6357,565,218,37,2.12840491919957
6358,565,218,38,3.92665498618503
6359,565,218,39,-5.161267016
6360,565,218,40,-12.03810451
6362,565,218,41,-2.474735073
6363,565,218,42,6.438768899
6364,565,218,43,2.89890764123654
6365,565,218,44,5.51353525682667
6366,565,218,45,-8.949587111
6367,565,218,46,-13.51547601
6368,565,218,47,3.41331300633295
6431,565,488,0,0.622695434277349
6432,565,488,1,0.0891881800834713
6433,565,488,2,-9.493470415
6434,565,488,3,-4.694456498
6435,565,488,4,-5.43566754
6436,565,488,5,0.363430341647868
6437,565,488,6,-25.08314815
6439,565,488,7,1.4326075042867
6440,565,488,8,2.15210198358933
6441,565,488,9,-30.38812969
6442,565,488,11,-0.043497929
6443,565,488,10,5.54647336388294
6444,565,488,12,-3.321323862
6445,565,488,13,-0.681622085
6446,565,488,14,-0.826451908
6448,565,488,15,-3.480387469
6450,565,488,16,0.194244411821638
6451,565,488,17,-7.260646574
6452,565,488,18,0.672120167177715
6453,565,488,19,2.60412998907179
6455,565,488,20,2.9020232837263
6456,565,488,21,1.08296374169502
6458,565,488,22,2.31440543863002
6459,565,488,23,-2.79517009
6460,565,488,24,-1.266682606
6461,565,488,25,-0.521362747
6463,565,488,26,1.4854673083608
6466,565,488,27,0.0769869915414568
6467,565,488,28,0.933905600005627
6468,565,488,29,1.27155414348208
6470,565,488,30,-4.759546125
6471,565,488,31,-3.275683594
6472,565,488,32,-4.512866863
6473,565,488,33,-1.437961513
6474,565,488,34,3.65923411552082
6475,565,488,35,1.08466381283358
6476,565,488,37,-0.580006726
6477,565,488,38,0.945143986169101
6478,565,488,39,-0.984732713
6479,565,488,40,1.61408811000351
6481,565,488,42,-2.311888696
6482,565,488,43,-5.297586054
6483,565,488,44,0.937543030896781
6484,565,488,45,1.90269557268575
6485,565,488,46,5.38487488643668
6486,565,488,47,1.85247435057026
6489,565,583,0,-3.038017904
6490,565,583,1,-3.038884148
6491,565,583,2,-0.015943056
6492,565,583,3,-2.495686817
6493,565,583,4,-7.418317464
6494,565,583,5,-6.522466716
6495,565,583,6,-0.200922274
6497,565,583,7,0.240840838504316
6498,565,583,8,-8.404056771
6499,565,583,9,-9.951022159
6500,565,583,11,-5.743309006
6501,565,583,10,-4.490993163
6502,565,583,12,-3.258720672
6503,565,583,13,-2.677893826
6504,565,583,14,-6.656616318
6506,565,583,15,-3.251744633
6508,565,583,16,7.18493140780854
6509,565,583,17,-2.535316997
6510,565,583,18,-4.638185224
6511,565,583,19,-2.247377709
6513,565,583,20,0.369434296693696
6514,565,583,21,-0.640367818
6516,565,583,22,-3.262446693
6517,565,583,23,0.0870147879610081
6518,565,583,24,-5.287395589
6519,565,583,25,-0.691827903
6521,565,583,26,0.0292394205469893
6524,565,583,27,-4.230030937
6525,565,583,28,6.45669533891323
6526,565,583,29,-6.26135421
6528,565,583,30,-2.402812258
6529,565,583,31,-5.14714702
6530,565,583,32,2.19259484315392
6531,565,583,33,1.15725687914675
6532,565,583,34,-1.16236369
6533,565,583,35,-7.092604662
6534,565,583,36,-7.777422166
6535,565,583,37,-1.199698394
6536,565,583,38,1.22599311052724
6537,565,583,39,0.906520345407731
6538,565,583,40,-1.655630804
6540,565,583,41,-0.968395213
6541,565,583,42,4.74929365177916
6542,565,583,43,-1.5143983
6543,565,583,44,0.497122799743939
6544,565,583,45,1.10473042944364
6545,565,583,46,-0.495349158
6546,565,583,47,-2.707254113
6549,565,489,0,1.19457713009808
6550,565,489,1,0.0626076502500642
6551,565,489,2,4.37022819071831
6552,565,489,3,-1.479604257
6553,565,489,4,-4.820524533
6554,565,489,5,-2.867972942
6555,565,489,6,-4.537163382
6557,565,489,7,0.676609625569165
6558,565,489,8,7.035697772
6559,565,489,9,6.38338936084867
6560,565,489,11,-7.302891664
6561,565,489,10,7.53610996187809
6562,565,489,12,-7.452033668
6563,565,489,13,-2.222152156
6564,565,489,14,-10.06586877
6566,565,489,15,-4.083085455
6568,565,489,16,-2.37113031
6569,565,489,17,-6.475952581
6570,565,489,19,-4.412760932
6572,565,489,20,-5.932312687
6573,565,489,21,-3.509983924
6575,565,489,22,-3.954252269
6576,565,489,23,-2.830841745
6577,565,489,24,3.25089448863581
6578,565,489,25,-0.962783152
6580,565,489,26,-0.015538748
