ID,Drug1,Drug2,Cell line,ZIP
217,14,631,1,3.28
237,14,215,1,2.8
245,14,141,1,3.45
249,14,503,1,1.84
265,456,14,1,0.42
269,456,631,1,3.62
277,456,217,1,11.06
317,456,141,1,-0.51
321,456,637,1,9.72
325,456,402,1,-0.06
345,218,14,1,4.49
349,218,631,1,-1.9
357,218,217,1,-4.17
397,218,141,1,13.84
401,218,637,1,11.93
405,218,402,1,11.27
437,631,215,1,6.96
445,631,141,1,13.37
449,631,503,1,-2.89
465,622,14,1,5.9
469,622,631,1,8.05
477,622,217,1,-0.61
517,622,141,1,15.66
521,622,637,1,16.04
525,622,402,1,7.42
549,484,14,1,0.71
553,484,631,1,0.89
561,484,217,1,1.43
601,484,141,1,-0.66
605,484,637,1,-0.5
609,484,402,1,-2.92
625,217,14,1,-2.03
629,217,631,1,1.31
649,217,215,1,-0.5
661,217,141,1,4.63
665,217,503,1,10.78
681,358,14,1,0.9
685,358,631,1,-1.12
693,358,217,1,1.34
729,358,141,1,2.37
733,358,637,1,4.11
737,358,402,1,3.64
785,165,14,1,23.21
789,165,631,1,1.02
797,165,217,1,7.35
833,165,141,1,10.67
837,165,637,1,7.03
841,165,402,1,8.88
1025,99,14,1,-0.5
1029,99,631,1,-2.13
1037,99,217,1,-5.4
1077,99,141,1,27.31
1081,99,637,1,22.52
1085,99,402,1,2.95
1105,239,14,1,-2.43
1109,239,631,1,8.31
1117,239,217,1,4.73
1157,239,141,1,-3.29
1161,239,637,1,-3.04
1165,239,402,1,-6.88
1765,215,141,1,6.25
1781,618,14,1,4.78
1785,618,631,1,1.75
1793,618,217,1,-2.77
1833,618,141,1,3.54
1837,618,637,1,5.7
1841,618,402,1,-2.42
1929,637,14,1,5.16
1933,637,631,1,16.99
1941,637,217,1,14.74
1973,637,215,1,3.53
1985,637,141,1,14.2
1989,637,402,1,4.25
1993,637,503,1,3.26
2009,402,14,1,4.29
2013,402,631,1,2.59
2021,402,217,1,-2.36
2053,402,215,1,3.38
2065,402,141,1,4.08
2069,402,503,1,-0.77
2085,503,141,1,13.72
2181,118,14,1,-0.79
2185,118,631,1,-0.43
2193,118,217,1,-0.3
2229,118,141,1,7.13
2233,118,637,1,4.93
2237,118,402,1,-4.08
2545,14,631,2,6.24
2561,14,215,2,10.92
2569,14,141,2,2.44
2573,14,503,2,4.78
2589,456,14,2,4.51
2593,456,631,2,17.35
2601,456,217,2,13.08
2641,456,141,2,0.73
2645,456,637,2,9.09
2649,456,402,2,8.13
2669,218,14,2,1.25
2673,218,631,2,5.32
2681,218,217,2,6.51
2721,218,141,2,1.9
2725,218,637,2,8.69
2729,218,402,2,2.12
2761,631,215,2,5.74
